timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration_ms,flags,failed_conn_info,label
2026-08-28T18:00:00.000Z,192.168.10.5,172.217.16.206,49152,443,TCP,18,4820,1250.5,"SYN,ACK",CLEAN,BENIGN
2026-08-28T18:00:02.450Z,192.168.10.8,8.8.8.8,51204,53,UDP,2,148,15.2,NONE,NA,BENIGN
2026-08-28T18:00:04.800Z,192.168.10.14,192.168.10.50,52110,80,TCP,12,2400,450.0,"PSH,ACK",CLEAN,BENIGN
2026-08-28T18:00:07.150Z,192.168.10.19,151.101.65.140,49822,443,TCP,24,14200,3200.0,"SYN,ACK",CLEAN,BENIGN
2026-08-28T18:00:09.900Z,192.168.10.25,192.168.10.50,53400,22,TCP,32,4800,8500.0,"PSH,ACK",CLEAN,BENIGN
2026-08-28T18:00:12.300Z,192.168.10.5,8.8.8.8,54102,53,UDP,2,164,18.4,NONE,NA,BENIGN
2026-08-28T18:00:14.750Z,192.168.10.8,172.217.16.206,50114,443,TCP,15,3850,980.2,"ACK,FIN",CLEAN,BENIGN
2026-08-28T18:00:17.200Z,192.168.10.14,192.168.10.50,52112,80,TCP,8,1250,320.4,ACK,CLEAN,BENIGN
2026-08-28T18:00:19.850Z,192.168.10.15,192.168.10.50,55010,22,TCP,28,3920,7200.0,"PSH,ACK",CLEAN,BENIGN
2026-08-28T18:00:22.400Z,192.168.10.19,8.8.8.8,56120,53,UDP,2,152,14.8,NONE,NA,BENIGN
2026-08-28T18:00:25.050Z,192.168.10.25,151.101.65.140,50220,443,TCP,20,8900,2150.0,"SYN,ACK",CLEAN,BENIGN
2026-08-28T18:00:27.600Z,192.168.10.5,192.168.10.50,52114,80,TCP,14,3100,580.6,"PSH,ACK",CLEAN,BENIGN
2026-08-28T18:00:30.150Z,192.168.10.8,172.217.16.206,50330,443,TCP,22,11400,2800.0,"ACK,FIN",CLEAN,BENIGN
2026-08-28T18:00:32.700Z,192.168.10.14,8.8.8.8,57200,53,UDP,2,140,12.5,NONE,NA,BENIGN
2026-08-28T18:00:35.350Z,192.168.10.19,192.168.10.50,52116,80,TCP,10,1850,410.2,ACK,CLEAN,BENIGN
2026-08-28T18:00:37.900Z,192.168.10.25,192.168.10.50,55012,22,TCP,25,3400,6100.0,"PSH,ACK",CLEAN,BENIGN
2026-08-28T18:00:40.450Z,192.168.10.5,151.101.65.140,50440,443,TCP,16,4500,1100.0,"SYN,ACK",CLEAN,BENIGN
2026-08-28T18:00:43.000Z,192.168.10.8,8.8.8.8,58100,53,UDP,2,156,16.0,NONE,NA,BENIGN
2026-08-28T18:00:45.550Z,192.168.10.14,172.217.16.206,50550,443,TCP,19,6200,1650.0,"ACK,FIN",CLEAN,BENIGN
2026-08-28T18:00:48.100Z,192.168.10.19,192.168.10.50,52118,80,TCP,11,2100,490.5,"PSH,ACK",CLEAN,BENIGN
2026-08-28T18:00:50.700Z,192.168.10.25,8.8.8.8,59002,53,UDP,2,144,13.2,NONE,NA,BENIGN
2026-08-28T18:00:53.250Z,192.168.10.5,192.168.10.50,55014,22,TCP,30,4200,7800.0,"PSH,ACK",CLEAN,BENIGN
2026-08-28T18:00:55.800Z,192.168.10.8,151.101.65.140,50660,443,TCP,26,16800,3900.0,"SYN,ACK",CLEAN,BENIGN
2026-08-28T18:00:58.350Z,192.168.10.14,192.168.10.50,52120,80,TCP,13,2800,520.0,ACK,CLEAN,BENIGN
2026-08-28T18:01:00.900Z,192.168.10.19,8.8.8.8,60110,53,UDP,2,160,17.5,NONE,NA,BENIGN
2026-08-28T18:01:03.450Z,192.168.10.25,172.217.16.206,50770,443,TCP,17,5100,1350.0,"ACK,FIN",CLEAN,BENIGN
2026-08-28T18:01:06.000Z,192.168.10.5,192.168.10.50,52122,80,TCP,9,1600,360.0,"PSH,ACK",CLEAN,BENIGN
2026-08-28T18:01:08.600Z,192.168.10.8,192.168.10.50,55016,22,TCP,22,3100,5400.0,"PSH,ACK",CLEAN,BENIGN
2026-08-28T18:01:11.150Z,192.168.10.14,8.8.8.8,61004,53,UDP,2,148,14.1,NONE,NA,BENIGN
2026-08-28T18:01:13.700Z,192.168.10.19,151.101.65.140,50880,443,TCP,21,9400,2400.0,"SYN,ACK",CLEAN,BENIGN
2026-08-28T18:01:16.250Z,192.168.10.25,192.168.10.50,52124,80,TCP,15,3400,640.0,ACK,CLEAN,BENIGN
2026-08-28T18:01:18.800Z,192.168.10.5,8.8.8.8,62112,53,UDP,2,152,15.6,NONE,NA,BENIGN
2026-08-28T18:01:21.350Z,192.168.10.8,172.217.16.206,50990,443,TCP,18,5800,1500.0,"ACK,FIN",CLEAN,BENIGN
2026-08-28T18:01:23.900Z,192.168.10.14,192.168.10.50,55018,22,TCP,27,3750,6900.0,"PSH,ACK",CLEAN,BENIGN
2026-08-28T18:01:26.450Z,192.168.10.19,192.168.10.50,52126,80,TCP,12,2300,470.0,"PSH,ACK",CLEAN,BENIGN
2026-08-28T18:01:28.500Z,192.168.10.25,151.101.65.140,51100,443,TCP,25,15200,3600.0,"SYN,ACK",CLEAN,BENIGN
2026-08-28T18:01:31.200Z,172.16.0.50,192.168.10.50,34001,21,TCP,1,40,1.2,SYN,SYN_NO_ACK,PortScan
2026-08-28T18:01:32.400Z,172.16.0.50,192.168.10.50,34002,22,TCP,2,80,2.5,SYN,RST_ABORT,PortScan
2026-08-28T18:01:33.600Z,172.16.0.50,192.168.10.50,34003,23,TCP,1,40,1.1,SYN,SYN_NO_ACK,PortScan
2026-08-28T18:01:34.800Z,172.16.0.50,192.168.10.50,34004,25,TCP,1,40,0.9,SYN,SYN_NO_ACK,PortScan
2026-08-28T18:01:36.000Z,192.168.10.5,8.8.8.8,63001,53,UDP,2,148,14.5,NONE,NA,BENIGN
2026-08-28T18:01:37.200Z,172.16.0.50,192.168.10.50,34005,53,TCP,1,40,1.0,SYN,SYN_NO_ACK,PortScan
2026-08-28T18:01:38.400Z,172.16.0.50,192.168.10.50,34006,80,TCP,2,80,3.1,SYN,RST_ABORT,PortScan
2026-08-28T18:01:39.600Z,172.16.0.50,192.168.10.50,34007,110,TCP,1,40,0.8,SYN,SYN_NO_ACK,PortScan
2026-08-28T18:01:40.800Z,172.16.0.50,192.168.10.50,34008,135,TCP,1,40,1.2,SYN,SYN_NO_ACK,PortScan
2026-08-28T18:01:42.000Z,172.16.0.50,192.168.10.50,34009,139,TCP,1,40,1.1,SYN,SYN_NO_ACK,PortScan
2026-08-28T18:01:43.200Z,192.168.10.8,172.217.16.206,51220,443,TCP,16,4600,1150.0,"ACK,FIN",CLEAN,BENIGN
2026-08-28T18:01:44.400Z,172.16.0.50,192.168.10.50,34010,143,TCP,1,40,0.9,SYN,SYN_NO_ACK,PortScan
2026-08-28T18:01:45.600Z,172.16.0.50,192.168.10.50,34011,443,TCP,2,80,2.8,SYN,RST_ABORT,PortScan
2026-08-28T18:01:46.800Z,172.16.0.50,192.168.10.50,34012,445,TCP,1,40,1.0,SYN,SYN_NO_ACK,PortScan
2026-08-28T18:01:48.000Z,172.16.0.50,192.168.10.50,34013,1433,TCP,1,40,1.3,SYN,SYN_NO_ACK,PortScan
2026-08-28T18:01:49.200Z,172.16.0.50,192.168.10.50,34014,1521,TCP,1,40,1.1,SYN,SYN_NO_ACK,PortScan
2026-08-28T18:01:50.400Z,192.168.10.14,192.168.10.50,52128,80,TCP,10,1900,420.0,"PSH,ACK",CLEAN,BENIGN
2026-08-28T18:01:51.600Z,172.16.0.50,192.168.10.50,34015,3306,TCP,2,80,2.4,SYN,RST_ABORT,PortScan
2026-08-28T18:01:52.800Z,172.16.0.50,192.168.10.50,34016,3389,TCP,1,40,1.0,SYN,SYN_NO_ACK,PortScan
2026-08-28T18:01:54.000Z,172.16.0.50,192.168.10.50,34017,5432,TCP,1,40,1.2,SYN,SYN_NO_ACK,PortScan
2026-08-28T18:01:55.200Z,172.16.0.50,192.168.10.50,34018,8000,TCP,1,40,0.9,SYN,SYN_NO_ACK,PortScan
2026-08-28T18:01:56.400Z,172.16.0.50,192.168.10.50,34019,8080,TCP,2,80,3.0,SYN,RST_ABORT,PortScan
2026-08-28T18:01:57.600Z,192.168.10.19,8.8.8.8,64002,53,UDP,2,156,15.0,NONE,NA,BENIGN
